Arts_and_Entertainment,Autos_and_Vehicles,Beauty_and_Fitness,Books_and_Literature,Business_and_Industrial,Computers_and_Electronics,Finance,Food_and_Drink,Games,Health,Hobbies_and_Leisure,Home_and_Garden,Internet_and_Telecom,Jobs_and_Education,Law_and_Government,News,Online_Communities,People_and_Society,Pets_and_Animals,Real_Estate,Reference,Science,Shopping,Sports,Travel
44,53,80,27,57,22,67,85,42,67,49,60,71,38,33,46,43,28,48,59,41,32,48,58,32
43,60,82,26,62,22,71,79,41,68,47,60,82,38,33,52,39,27,44,67,42,32,50,57,38
45,62,80,27,59,23,62,84,42,67,55,61,79,39,34,47,35,27,45,66,41,33,52,59,41
43,65,81,25,56,22,54,85,42,63,53,72,75,36,34,41,34,27,45,66,38,30,51,62,44
44,58,92,23,57,21,54,82,38,65,51,61,75,36,29,39,35,26,42,65,37,26,51,63,47
45,59,91,22,55,21,57,86,42,66,52,64,75,38,30,41,35,27,45,66,39,26,51,67,49
45,59,87,23,57,21,51,87,42,68,49,59,74,38,42,42,37,27,44,64,40,27,52,65,44
47,53,88,25,56,22,55,89,41,71,49,57,74,40,43,42,34,27,48,60,42,34,52,75,39
47,53,87,26,54,22,53,88,41,66,51,62,66,39,38,39,35,28,46,60,40,32,54,85,39
47,49,83,26,51,21,53,89,43,64,53,60,71,38,36,40,32,25,44,53,37,30,60,76,36
50,53,90,26,54,23,53,100,47,70,58,62,64,40,33,39,36,28,46,54,40,29,62,72,38
45,46,76,25,49,21,51,80,44,67,44,54,64,37,35,37,34,24,43,53,39,28,46,73,33
42,47,74,25,48,21,58,73,41,60,44,52,58,42,34,38,34,23,43,54,41,31,45,63,35
43,51,80,26,51,20,56,78,39,61,43,54,61,41,35,39,32,22,44,57,44,34,44,61,38
46,51,77,29,52,23,53,73,43,62,48,61,67,43,38,38,31,25,48,55,44,37,46,65,38
44,50,77,27,51,21,48,71,41,60,45,54,67,39,37,39,31,22,43,52,41,34,45,60,38
43,53,76,23,51,20,50,75,39,62,47,60,68,38,32,40,31,22,44,56,37,28,45,55,49
47,56,78,22,51,21,50,84,43,62,52,60,66,37,29,38,32,22,43,56,39,29,47,54,44
