Sale,Discount,coupon,Promotion,Special_offer,Bargain,Deal,Clearance,Flash_sale,Apparel,Electronics,Home_goods,Appliance,Furniture,Beauty_product,Shopping,Shopping_spree,Retail_therapy,Shopping_experience,Impulse_buying,Comparison_shopping,Brand_loyalty,Loyalty_card,Customer_satisfaction,customer_opinion,Payment_options,Credit_card,Cash_transaction,Online_payment,Retail_store,Brick-and-mortar,Store_layout,E-commerce,webshop,Online_shopping,Online_shop,Online_store,Customer_service,Customer_support,Returns_and_exchanges,Holiday_sales,Black_Friday,Cyber_Monday,Sales_events,Clearance_events,Anniversary_sale,Retail,purchase_+_purchasing,acquire,Buy,procure,consume_,Shopping_cart,shopping_bag
78,56,27,32,26,48,59,94,32,39,13,56,83,50,53,48,28,83,19,23,3,36,84,24,26,90,91,56,61,28,39,47,19,40,42,40,48,96,74,46,45,1,0,67,5,9,45,65,53,60,84,65,45,77
67,52,27,33,31,39,58,80,27,39,12,50,71,44,40,43,23,69,30,35,4,61,84,32,34,82,85,80,61,28,41,47,21,33,40,36,42,93,72,46,19,1,1,88,9,7,43,66,68,58,87,82,33,77
64,51,28,32,27,41,64,80,36,38,12,48,73,43,46,43,25,61,35,47,4,70,78,31,29,85,85,72,58,29,61,47,23,40,42,36,47,89,71,47,24,3,1,88,7,6,42,68,73,56,87,83,34,69
70,59,33,34,31,46,78,78,34,45,13,60,78,47,48,51,28,62,38,46,4,70,70,30,38,82,85,63,55,31,55,59,21,35,52,41,53,92,72,51,38,48,32,86,8,5,43,70,64,71,80,81,40,78
66,55,35,30,28,46,64,82,25,44,13,62,72,40,46,52,37,62,29,36,3,52,80,28,32,80,88,63,59,28,42,50,19,39,50,40,53,100,75,61,40,2,1,64,6,5,41,66,56,70,72,73,36,86
67,49,26,30,27,40,60,86,31,35,13,50,72,45,46,40,25,71,22,40,4,43,91,31,38,89,89,64,60,29,46,44,20,37,35,35,47,87,71,60,13,1,1,64,2,6,41,69,60,55,83,76,31,71
69,51,26,32,28,45,66,81,32,36,13,46,72,45,49,42,28,100,35,55,4,79,100,31,58,91,91,81,59,29,60,44,24,27,37,36,44,93,76,59,14,1,0,81,5,6,43,74,100,61,90,92,33,67
66,53,26,32,29,43,68,83,34,34,12,44,63,43,45,43,23,89,37,53,5,77,74,33,31,92,88,68,59,33,43,54,21,30,39,35,41,89,72,52,11,0,0,80,7,7,40,71,85,54,92,89,29,71
70,52,27,35,28,41,66,79,34,33,11,46,65,42,49,42,26,58,37,52,4,76,81,32,33,100,88,69,73,29,61,55,20,28,36,34,42,83,67,53,14,0,0,93,6,7,40,69,78,54,81,89,27,73
71,53,28,35,30,42,65,79,39,32,12,48,68,45,44,43,26,62,34,40,4,62,74,30,38,94,91,71,59,29,40,48,20,35,36,35,42,91,72,49,19,0,0,89,9,10,42,66,63,57,78,83,27,68
77,57,27,31,28,44,66,82,40,34,12,48,70,45,45,45,26,63,24,24,3,44,83,30,28,86,94,64,63,28,23,42,19,32,37,35,43,97,81,46,18,0,0,81,8,14,41,63,49,57,61,73,28,69
74,58,27,31,29,41,63,91,41,31,12,60,78,44,42,48,23,53,24,27,2,46,87,25,16,93,97,61,59,28,34,42,18,34,39,37,45,93,76,45,30,1,1,78,10,51,41,65,48,62,62,76,30,71
71,55,26,31,27,44,57,89,37,35,12,55,73,41,48,44,27,56,22,31,2,38,83,24,24,94,89,59,56,27,27,41,18,44,35,34,41,91,72,42,32,1,1,71,5,12,42,65,50,54,74,78,27,73
63,54,24,32,30,43,65,83,31,37,12,53,65,42,46,40,27,68,36,42,4,70,71,32,50,98,80,100,59,30,45,48,24,40,34,34,41,83,72,46,19,1,1,100,8,7,43,69,77,54,82,92,33,67
